,,,,,,,,,,,,,,,,,,,dealer,,,,,,,,,,,,,,
ACCOUNTING_TRANS_ID,TRANS_DATE,LOAN_ID,CORE_LOAN_ID,TRANS_TYPE,TRANS_DESC,ACCOUNT_CODE,PERIOD,CURR_CODE,OTHER_AMT,AMOUNT,D_C,JRNAL_TYPE,TREFERENCE,DESCRIPTN,DUE_DATE,ANAL01,ANAL02,ANAL03,ANAL04,ANAL05,ANAL06,ANAL07,ANAL08,ANAL09,ANAL10,CAMPAIGN_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,APPROVAL,APPROVE_DATE
651,01DEC2020:00:00:00,2011301529,100235375,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774070001,122020,VND,2454545,2454545,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
652,01DEC2020:00:00:00,2011301529,100235375,DISBURSE_SUBVENTION_VAT_AMT,RECEIVE SUBVENTION,3391401000,122020,VND,245455,245455,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
653,01DEC2020:00:00:00,2011301529,100235375,DISBURSE_SUBVENTION_VAT_TOTAL,RECEIVE SUBVENTION,1423004000,122020,VND,2700000,2700000,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
654,01DEC2020:00:00:00,2011301529,100235375,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,4774080001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
655,01DEC2020:00:00:00,2011301529,100235375,DISBURSE_SUBVENTION_VAT,RECEIVE SUBVENTION,3393010001,122020,VND,2454545,2454545,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,21,114,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
656,01DEC2020:00:00:00,2011301530,100235373,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774070001,122020,VND,636318,636318,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
657,01DEC2020:00:00:00,2011301530,100235373,DISBURSE_SUBVENTION_VAT_AMT_POST,RECEIVE SUBVENTION,3391401000,122020,VND,63632,63632,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
658,01DEC2020:00:00:00,2011301530,100235373,DISBURSE_SUBVENTION_VAT_TOTAL_POST,RECEIVE SUBVENTION,1341020000,122020,VND,699950,699950,D,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
659,01DEC2020:00:00:00,2011301530,100235373,DISBURSE_SUBVENTION_VAT_POST,RECEIVE SUBVENTION,4774080001,122020,VND,636318,636318,C,LMSS,LMSS01122020,RECEIVE SUBVENTION,,970-000,FT2WZO,23,115,,,,,,,,99,baont,05DEC2020:09:58:56,,,,
