SUBVENTION_SCHEDULE_ID,LOAN_ID,CORE_LOAN_ID,ARN,DUE_DATE,CLOSED_DATE,TENOR,INSTALLMENT_NO,TRANS_TYPE,PRINCIPAL,CARRYING_AMT,SUBVEN_AMT,MONTHLY_RATE,EFFECTIVE_RATE,PRINCIPAL_AMT,INTEREST_AMT,EFFECTIVE_INT,SUBVEN_AMORTI,SUBVEN_BALANCE,PARTNER_ID,PARTNER_CODE,PRODUCT_CODE,SPECIAL_CODE,CAMPAIGN_CODE,BRANCH_CODE,STATUS,CREATOR,CREATE_DATE,MODIFIER,MODIFY_DATE,TRANS_DATE
1070,2012051864,100235483,2012070001673195,30SEP2021:00:00:00,,12,10,SUBVENTION_AMORTIZATION_VAT_POST,3481478,3428778,52700,3.750000,4.555218,1118041,130555,156188,25633,27067,114,TVT1,SFNFIX,FT2WZO,FT2WZO,17,1,baont,09DEC2020:14:55:57,,,
1071,2012051864,100235483,2012070001673195,31OCT2021:00:00:00,,12,11,SUBVENTION_AMORTIZATION_VAT_POST,2363437,2336370,27067,3.750000,4.555218,1159967,88629,106427,17798,9269,114,TVT1,SFNFIX,FT2WZO,FT2WZO,17,1,baont,09DEC2020:14:55:57,,,
1072,2012051864,100235483,2012070001673195,30NOV2021:00:00:00,,12,12,SUBVENTION_AMORTIZATION_VAT_POST,1203470,1194201,9269,3.750000,4.555218,1203470,45130,54398,9269,0,114,TVT1,SFNFIX,FT2WZO,FT2WZO,17,1,baont,09DEC2020:14:55:57,,,
1073,2012051849,100235493,2012050001673144,08DEC2020:00:00:00,,12,0,DISBURSE_SUBVENTION_VAT,10000000,8636364,1363636,3.750000,6.352556,,,,1363636,1363636,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1074,2012051849,100235493,2012050001673144,08DEC2020:00:00:00,,12,0,DISBURSE_SUBVENTION_VAT_TOTAL,10000000,8636364,1363636,3.750000,6.352556,,,,1500000,1363636,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1075,2012051849,100235493,2012050001673144,08DEC2020:00:00:00,,12,0,DISBURSE_SUBVENTION_VAT_AMT,10000000,8636364,1363636,3.750000,6.352556,,,,136364,1363636,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1076,2012051849,100235493,2012050001673144,31DEC2020:00:00:00,,12,1,SUBVENTION_AMORTIZATION_VAT,10000000,8636364,1363636,3.750000,6.352556,675123,375000,548630,173630,1190006,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1077,2012051849,100235493,2012050001673144,31JAN2021:00:00:00,,12,2,SUBVENTION_AMORTIZATION_VAT,9324877,8134871,1190006,3.750000,6.352556,700440,349683,516772,167089,1022917,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1078,2012051849,100235493,2012050001673144,28FEB2021:00:00:00,,12,3,SUBVENTION_AMORTIZATION_VAT,8624437,7601520,1022917,3.750000,6.352556,726707,323416,482891,159475,863442,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
1079,2012051849,100235493,2012050001673144,31MAR2021:00:00:00,,12,4,SUBVENTION_AMORTIZATION_VAT,7897730,7034288,863442,3.750000,6.352556,753958,296165,446857,150692,712750,13,TGDD1,SFNFIX,FTCDZO,FTCDZO,45,1,baont,09DEC2020:14:55:57,,,
